,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
220,G05T833E,False,96.25,"Lerner, Sorin                      ",Y,Y,A+ 
221,G5TXVPT5,False,82.92,"Lerner, Sorin                      ",Y,Y,B+ 
224,GB15HU58,False,81.83,"Lerner, Sorin                      ",Y,Y,A- 
225,GFYRZ57B,False,31.580000000000002,"Alvarado, Christine J.             ",Y,Y,F  
226,GIYYL71M,False,96.75,"Alvarado, Christine J.             ",Y,Y,A  
227,GK12PDL9,False,88.25,"Lerner, Sorin                      ",Y,Y,A  
228,GPQIUEA9,False,93.75,"Lerner, Sorin                      ",Y,Y,A  
229,GR6F8DYJ,False,45.25,"Lerner, Sorin                      ",Y,Y,F  
230,GRPNYVAS,False,88.25,"Lerner, Sorin                      ",Y,Y,A  
231,GV8O09G5,False,98.33,"Lerner, Sorin                      ",Y,Y,A+ 
232,GYM9HLU1,False,90.16999999999999,"Alvarado, Christine J.             ",Y,Y,A  
233,GZ7147OJ,False,85.17,"Alvarado, Christine J.             ",Y,Y,A  
234,H05DIVIH,False,85.17,"Alvarado, Christine J.             ",Y,Y,A  
235,H2OPMGTZ,False,85.58,"Alvarado, Christine J.             ",Y,Y,A- 
236,H2Z5S6CE,False,99.58,"Alvarado, Christine J.             ",Y,Y,A  
238,HJSLFCBH,False,89.33,"Lerner, Sorin                      ",Y,Y,A  
239,HL5L331C,False,93.33,"Alvarado, Christine J.             ",Y,Y,A  
240,HSFAS81S,False,80.33,"Alvarado, Christine J.             ",Y,Y,A- 
241,HW3IKNUC,False,97.08,"Lerner, Sorin                      ",Y,Y,A  
242,HZ91TFR7,False,46.42,"Alvarado, Christine J.             ",Y,Y,C+ 
243,I56PLFF0,False,95.83,"Lerner, Sorin                      ",Y,Y,A  
244,I5TBS6UK,False,81.58,"Lerner, Sorin                      ",Y,Y,A- 
245,I8OCRZQK,False,95.33,"Lerner, Sorin                      ",Y,Y,A  
246,IEHVVYEF,False,88.92,"Lerner, Sorin                      ",Y,Y,A  
248,IHEKLGA1,False,83.91999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
249,IHSNE5ZD,False,90.83,"Lerner, Sorin                      ",Y,Y,A  
251,IP3FMI9B,False,91.25,"Alvarado, Christine J.             ",Y,Y,A  
252,IR5RDF7M,False,92.92,"Alvarado, Christine J.             ",Y,Y,A  
253,ISVFEMZR,False,90.0,"Alvarado, Christine J.             ",Y,Y,A- 
254,ITI1OT02,False,0.0,"Lerner, Sorin                      ",Y,Y,F  
255,IU5XZVEU,False,58.830000000000005,"Lerner, Sorin                      ",Y,Y,F  
256,IVHRLB7K,False,37.0,"Alvarado, Christine J.             ",Y,Y,F  
257,IWYOZJST,False,80.75,"Alvarado, Christine J.             ",Y,Y,A- 
258,IYOPPGV5,False,85.75,"Alvarado, Christine J.             ",Y,Y,A  
259,IZV79Z1B,False,94.17,"Alvarado, Christine J.             ",Y,Y,A  
260,J17QWOUJ,False,94.33,"Alvarado, Christine J.             ",Y,Y,A  
261,J459XRL1,False,84.75,"Lerner, Sorin                      ",Y,Y,A  
263,J8GI9DFV,False,94.17,"Lerner, Sorin                      ",Y,Y,A+ 
264,J8QWEZXF,False,80.58,"Lerner, Sorin                      ",Y,Y,C+ 
265,JAX4144P,False,77.92,"Lerner, Sorin                      ",Y,Y,B  
266,JE0UDU7G,False,87.25,"Alvarado, Christine J.             ",Y,Y,A  
267,JGB3L5TV,False,83.91999999999999,"Lerner, Sorin                      ",Y,Y,A  
268,JL2CQO0Y,False,56.92,"Alvarado, Christine J.             ",Y,Y,B- 
269,JMB7JZQE,False,75.17,"Lerner, Sorin                      ",Y,Y,B+ 
270,JNPG46PU,False,73.25,"Alvarado, Christine J.             ",Y,Y,B+ 
271,JQW9ZYI7,False,80.58,"Alvarado, Christine J.             ",Y,Y,B+ 
272,JS8I4GHG,False,78.25,"Lerner, Sorin                      ",Y,Y,B+ 
273,JV5P771G,False,80.75,"Lerner, Sorin                      ",Y,Y,A- 
274,JZUY5MHH,False,95.17,"Alvarado, Christine J.             ",Y,Y,A+ 
275,K0FK5GG0,False,69.75,"Alvarado, Christine J.             ",Y,Y,B  
276,K230LIFQ,False,0.0,"Lerner, Sorin                      ",Y,Y,I  
278,K4O7N0KG,False,44.75,"Lerner, Sorin                      ",Y,Y,F  
279,K58KG156,False,96.83,"Alvarado, Christine J.             ",Y,Y,A+ 
280,K9444F6X,False,95.83,"Lerner, Sorin                      ",Y,Y,A  
281,K9M0R5NS,False,66.83,"Lerner, Sorin                      ",Y,Y,B  
282,KBC4X3Q8,False,90.16999999999999,"Lerner, Sorin                      ",Y,Y,A  
283,KEVGY2QF,False,89.5,"Lerner, Sorin                      ",Y,Y,A  
284,KILP19JM,False,54.83,"Lerner, Sorin                      ",Y,Y,F  
285,KK6138WW,False,97.67,"Lerner, Sorin                      ",Y,Y,A+ 
286,KKYJYTTD,False,85.17,"Lerner, Sorin                      ",Y,Y,A- 
288,KUS3T8XV,False,86.0,"Lerner, Sorin                      ",Y,Y,A- 
289,KY0I23AD,False,96.25,"Lerner, Sorin                      ",Y,Y,A  
290,KY82OGR8,False,93.33,"Lerner, Sorin                      ",Y,Y,A  
291,L0EUXJ5Q,False,87.67,"Lerner, Sorin                      ",Y,Y,A  
292,L0WFR75T,False,91.42,"Lerner, Sorin                      ",Y,Y,A  
293,L3301MTE,False,34.92,"Lerner, Sorin                      ",Y,Y,F  
294,L6N9CT2Z,False,93.33,"Lerner, Sorin                      ",Y,Y,A  
295,L7ASJVIO,False,88.33,"Alvarado, Christine J.             ",Y,Y,A  
296,LAP4IT5J,False,93.5,"Alvarado, Christine J.             ",Y,Y,A  
297,LGSKLEBN,False,87.5,"Lerner, Sorin                      ",Y,Y,A  
298,LI0L0EDU,False,91.83,"Lerner, Sorin                      ",Y,Y,A  
299,LK0AV7SN,False,60.75000000000001,"Alvarado, Christine J.             ",Y,Y,B- 
300,LKMRGJH2,False,88.5,"Alvarado, Christine J.             ",Y,Y,A  
301,LMJAIJ2D,False,98.33,"Alvarado, Christine J.             ",Y,Y,A+ 
302,LR3PWW8B,False,71.92,"Lerner, Sorin                      ",Y,Y,B  
303,LT4ZCY4I,False,75.58,"Lerner, Sorin                      ",Y,Y,B- 
304,LX5BT4UT,False,72.25,"Alvarado, Christine J.             ",Y,Y,P  
305,LYVRVVL8,False,92.08,"Alvarado, Christine J.             ",Y,Y,A  
306,LZ0DBCRW,False,65.33,"Alvarado, Christine J.             ",Y,Y,B  
307,M0IWKTA7,False,88.25,"Lerner, Sorin                      ",Y,Y,A  
308,M0XVLNB1,False,90.16999999999999,"Alvarado, Christine J.             ",Y,Y,A  
310,M8J3O0P6,False,69.58,"Alvarado, Christine J.             ",Y,Y,B+ 
311,MAZ5AMVO,False,65.75,"Lerner, Sorin                      ",Y,Y,F  
312,MDYUAN6J,False,77.66999999999999,"Lerner, Sorin                      ",Y,Y,B  
313,MRIN3H3P,False,82.25,"Alvarado, Christine J.             ",Y,Y,A- 
314,MS58HO5O,False,95.17,"Alvarado, Christine J.             ",Y,Y,A+ 
315,MTKRTVXG,False,0.0,"Alvarado, Christine J.             ",Y,Y,NP 
316,MWPCH3Z0,False,74.92,"Alvarado, Christine J.             ",Y,Y,B  
317,N04IZFPP,False,79.08,"Alvarado, Christine J.             ",Y,Y,A- 
318,N696TM9G,False,96.67,"Lerner, Sorin                      ",Y,Y,A+ 
319,N9QUM2TI,False,89.33,"Lerner, Sorin                      ",Y,Y,A  
320,NCH6KPWX,False,91.67,"Alvarado, Christine J.             ",Y,Y,A  
321,NI2X7ZFF,False,32.08,"Alvarado, Christine J.             ",Y,Y,F  
322,NKJ6WPZ7,False,76.33,"Lerner, Sorin                      ",Y,Y,B  
323,NL2TXV52,False,80.83,"Alvarado, Christine J.             ",Y,Y,A- 
324,NL3XNCCZ,False,99.33,"Alvarado, Christine J.             ",Y,Y,A+ 
326,NOCUNUYL,False,82.42,"Lerner, Sorin                      ",Y,Y,B+ 
327,NOTLEB1I,False,64.67,"Alvarado, Christine J.             ",Y,Y,B  
328,NRNHOJ8O,False,67.83,"Lerner, Sorin                      ",Y,Y,B  
331,NWELEL8P,False,83.42,"Lerner, Sorin                      ",Y,Y,A  
333,NYW5ODPV,False,88.25,"Lerner, Sorin                      ",Y,Y,A  
334,O14CJMHJ,False,95.0,"Lerner, Sorin                      ",Y,Y,A+ 
335,O2ND6P18,False,93.33,"Alvarado, Christine J.             ",Y,Y,A+ 
336,O6IQSPP1,False,93.08,"Alvarado, Christine J.             ",Y,Y,A  
337,O9M9R0NW,False,83.08,"Alvarado, Christine J.             ",Y,Y,A- 
338,OBR5XS0L,False,98.08,"Alvarado, Christine J.             ",Y,Y,A+ 
339,OFCVB39Y,False,73.5,"Lerner, Sorin                      ",Y,Y,B+ 
340,OFS485M5,False,89.92,"Alvarado, Christine J.             ",Y,Y,A  
341,OI6KDEMT,False,63.17,"Lerner, Sorin                      ",Y,Y,B- 
343,OP30VHLJ,False,87.42,"Lerner, Sorin                      ",Y,Y,A  
344,OQ1WS9NK,False,90.42,"Alvarado, Christine J.             ",Y,Y,A  
345,P08QK7O7,False,93.5,"Alvarado, Christine J.             ",Y,Y,A+ 
346,P7Z82NUN,False,71.17,"Lerner, Sorin                      ",Y,Y,B- 
347,P81O12J2,False,88.33,"Alvarado, Christine J.             ",Y,Y,A  
348,PAL5MWOM,False,81.75,"Lerner, Sorin                      ",Y,Y,B+ 
349,PCHV3407,False,82.5,"Lerner, Sorin                      ",Y,Y,A- 
350,PDRUHDH6,False,90.42,"Alvarado, Christine J.             ",Y,Y,A  
351,PDRUHDH6,False,90.42,"Alvarado, Christine J.             ",Y,Y,A  
352,PEJWD34Y,False,84.17,"Lerner, Sorin                      ",Y,Y,A- 
353,PF6TTOET,False,87.25,"Lerner, Sorin                      ",Y,Y,A  
354,PJGB7PX3,False,84.58,"Lerner, Sorin                      ",Y,Y,A- 
356,PM81UNCC,False,79.33,"Alvarado, Christine J.             ",Y,Y,B+ 
357,PMI316M8,False,48.58,"Lerner, Sorin                      ",Y,Y,D  
358,PNAYBPRJ,False,90.58,"Alvarado, Christine J.             ",Y,Y,A  
360,PPACSPZ0,False,77.25,"Alvarado, Christine J.             ",Y,Y,B  
361,PQVDOD1Q,False,76.75,"Lerner, Sorin                      ",Y,Y,A- 
363,PYM0DP2G,False,72.08,"Alvarado, Christine J.             ",Y,Y,B+ 
365,Q2QBQQPL,False,73.67,"Alvarado, Christine J.             ",Y,Y,B+ 
366,Q3CIPJRB,False,76.0,"Lerner, Sorin                      ",Y,Y,A- 
367,Q4OIBFL1,False,79.92,"Lerner, Sorin                      ",Y,Y,A  
368,Q94RGS14,False,85.17,"Alvarado, Christine J.             ",Y,Y,A- 
369,QAEP4BAP,False,86.58,"Lerner, Sorin                      ",Y,Y,A  
370,QECFHSYP,False,84.0,"Alvarado, Christine J.             ",Y,Y,B+ 
371,QGAGXYDE,False,90.42,"Lerner, Sorin                      ",Y,Y,A  
372,QHYGKP8X,False,76.58,"Alvarado, Christine J.             ",Y,Y,P  
